RaceNumber,FirstName,LastName,Position,Points
107,Калоян,ТОДОРОВ,1,25
255,Димитър,ТИНЧЕВ,2,22
811,Иван,ЦОНЧЕВ,3,20
34,Георги,ГЕОРГИЕВ,4,18
347,Димитър,ИЛИЕВ,5,16
94,Димитър,ЦВЕТКОВ,6,15
772,Валентин,РОГЛЕВ,7,14
9,Константин,ИВАНОВ,8,13
41,Георги,Георгиев,9,12
274,Иван,ЧУКУРОВ,10,11
294,Александър,Кабакчиев,11,10
464,Иван,САРПИОНОВ,12,9
118,Петър,БЕНЧЕВ,13,8
57,Петър,ПЕТРОВ,14,7
22,Павел,ГЕОРГИЕВ,15,6
100,Теодор,КРЪСТЕВ,16,5
180,Николай,СЛАВОВ,17,4
203,Веско,ПАСПАЛЕВ,18,3
307,Милен,ДИМИТРОВ,19,2
226,Иван,ИВАНОВ,20,1
117,Димитър,ХРИСТОВ,21,0
111,Синан,СЕИДОВ,22,0
231,Пламен,ВЪЛЧАНОВ,23,0
862,Иво,ГЕОРГИЕВ,24,0
400,Иван,ГЕНЧЕВ,25,0
31,Христо,МИХОВ,26,0
177,Николай,ФИЛЧЕВ,27,0
567,Георги,ВЕСКОВ,28,0
295,Румен,ЙОРДАНОВ,29,0
84,Мартин,ИВАНОВ,30,0
51,Марио,ЗАРОВ,31,0
570,Гечо,ГЕЧОВ,32,0
47,Ангел,ТРАНДОВ,33,0
