N,Ст.№,Състезател,Име,Фамилия,username,Отбор,Мотор,Общо,Кърнаре 29-30/3 Нв,Стзагора 12-13/4 Нв,Бухово 3-4/5 Нв,ГМалина 17-18/5 Нв,Дамасцена 14-15/6 Нв,SDCi 10-11/08 Нв,Кирково 08-09/11 Нв
1,70,Стоян ПАЧАРОЗОВ,Стоян,ПАЧАРОЗОВ,stoyan.pacharozov.70,МСК ЕКС ЕНДУРО КЪРНАРЕ,KTM 200,221,,20,22,25,25,22,20
2,339,Ясен ПОПОВ,Ясен,ПОПОВ,yasen.popov.339,НК ЕНДУРО ВИКТОРИ,KTM 300 EXC,163,25,18,,20,22,25,22
3,50,Пънчо КУЗМАНОВ,Пънчо,КУЗМАНОВ,pancho.kuzmanov.50,СК АФГ ТИМ,Honda CR 250,144,22,16,,15,16,,15
4,225,Иван СПАСОВ,Иван,СПАСОВ,ivan.spasov.225,СК КЪРТАЧИТЕ,ktm,123,,25,25,22,0,,
5,855,Руси ТЕНЕВ,Руси,ТЕНЕВ,rusi.tenev.855,ЕНДУРО КЛУБ СЕВТОПОЛИС,GASGAS EC 300,111,,22,15,14,20,,
6,574,Михаил Кръшняк,Михаил,Кръшняк,mihail.krashnyak.574,МСК НСА МОТОРСПОРТ,KTM exc 300,79,,,9,7,,,16
7,129,Георги КЪНЧЕВ,Георги,КЪНЧЕВ,georgi.kanchev.129,ЕНДУРО КЛУБ СЕВТОПОЛИС,KTM 250 EXC,55,,,,20,18,0,
8,303,Емил БРАТОЕВ,Емил,БРАТОЕВ,emil.bratoev.303,МСК ХАРД ЕНДУРО ПЛЕВЕН,KTM 300 EXC,42,,,3,5,8,,
9,74,Асан ИМАМОВ,Асан,ИМАМОВ,asan.imamov.74,ЕНДУРО КЛУБ КОРНИЦА,Gas Gas 300,37,,,,,,,25
10,302,Благой ТОДОРОВ,Благой,ТОДОРОВ,blagoy.todorov.302,МОТО ДРУЖИНА БАНСКО,KTM 300,37,,,,6,,,
11,135,Пламен ТЕНЕВ,Пламен,ТЕНЕВ,plamen.tenev.135,МСК ХАРД РАЙДЪРС,Husqvarna TE300,37,,,8,,,,
12,569,Пламен АТАНАСОВ,Пламен,АТАНАСОВ,plamen.atanasov.569,МСК ЕНДУРО ВАРНА,Beta 250rr,33,,,,,,,
13,727,Ивайло ПЕТРОВ,Ивайло,ПЕТРОВ,ivaylo.petrov.727,МСК ХАРД РАЙДЪРС,KTM 300 EXC,18,,,,,,,18
14,126,Иван Иванов,Иван,Иванов,ivan.ivanov.126,ЕК ЛУДА РАБОТА,Husky,18,,,4,,,,
15,89,Добрин ДОБРЕВ,Добрин,ДОБРЕВ,dobrin.dobrev.89,АЛБА ДАМАСЦЕНА МСК,Husqvarna T300,18,,,,,,,
16,115,Ивайло ЙОРДАНОВ,Ивайло,ЙОРДАНОВ,ivaylo.yordanov.115,МСК ХАРД РАЙДЪРС,GasGas 300,12,,,,,,,
17,571,Ангел ТРАКОВ,Ангел,ТРАКОВ,angel.trakov.571,АМСК АИТ РЕЙСИНГ ТИЙМ,Husqvarna 300 TE,0,,,,,,,
18,774,Владислав ВАСИЛЕВ,Владислав,ВАСИЛЕВ,vladislav.vasilev.774,МСК ЕНДУРО ВАРНА,Beta RR 300,0,,,,,,,
19,360,Кристиан САРАЛИЕВ,Кристиан,САРАЛИЕВ,kristian.saraliev.360,МСК ЕНДУРО ВАРНА,Beta 300 rr,0,,,,,,,
