RaceNumber,FirstName,LastName,Position,Points
255,Димитър,ТИНЧЕВ,1,25
347,Димитър,ИЛИЕВ,2,22
350,Цветан,АЛЕКСИЕВ,3,20
400,Иван,ГЕНЧЕВ,4,18
9,Константин,ИВАНОВ,5,16
274,Иван,ЧУКУРОВ,6,15
118,Петър,БЕНЧЕВ,7,14
772,Валентин,РОГЛЕВ,8,13
177,Николай,ФИЛЧЕВ,9,12
57,Петър,ПЕТРОВ,10,11
804,Александър,КРЪШНЯК,11,10
117,Димитър,ХРИСТОВ,12,9
567,Георги,ВЕСКОВ,13,8
14,Георги,ПЕТКОВ,14,7
307,Милен,ДИМИТРОВ,15,6
107,Калоян,ТОДОРОВ,16,5
111,Синан,СЕИДОВ,17,4
862,Иво,ГЕОРГИЕВ,18,3
570,Гечо,ГЕЧОВ,19,2
18,Павел,Цацов,20,1
211,Стефан,БРАТОВ,21,0
222,Борислав,ВЕЛИКОВ,22,0
84,Мартин,ИВАНОВ,23,0
44,Стефан,ДЕЛЕВ,24,0
660,Валентин,АРАБОВ,25,0
