RaceNumber,FirstName,LastName,Position,Points
255,Димитър,ТИНЧЕВ,1,25
347,Димитър,ИЛИЕВ,2,22
811,Иван,ЦОНЧЕВ,3,20
772,Валентин,РОГЛЕВ,4,18
464,Иван,САРПИОНОВ,5,16
350,Цветан,АЛЕКСИЕВ,6,15
274,Иван,ЧУКУРОВ,7,14
400,Иван,ГЕНЧЕВ,8,13
203,Веско,ПАСПАЛЕВ,9,12
57,Петър,ПЕТРОВ,10,11
9,Константин,ИВАНОВ,11,10
100,Теодор,КРЪСТЕВ,12,9
804,Александър,КРЪШНЯК,13,8
421,Даниел,СЛАВКОВ,14,7
22,Павел,ГЕОРГИЕВ,15,6
41,Георги,Георгиев,16,5
307,Милен,ДИМИТРОВ,17,4
240,Йосиф,ХРИСТОВ,18,3
51,Марио,ЗАРОВ,19,2
226,Иван,ИВАНОВ,20,1
183,Иван,ТОДОРОВ,21,0
31,Христо,МИХОВ,22,0
600,Илиян,ГЕЧОВ,23,0
862,Иво,ГЕОРГИЕВ,24,0
567,Георги,ВЕСКОВ,25,0
111,Синан,СЕИДОВ,26,0
771,Марио,ЧАНГАЛОВ,27,0
44,Стефан,ДЕЛЕВ,28,0
157,Адриан,МИШЕВ,29,0
84,Мартин,ИВАНОВ,30,0
18,Павел,Цацов,31,0
696,Стефан,ДЖИНГАРОВ,32,0
201,Иван,ХРИСТОВ,33,0
