RaceNumber,FirstName,LastName,Position,Points
281,Захари,ШЕНТОВ,1,25
66,Иван,КЕРАНДЖИЕВ,2,22
908,Здравко,ГИНОВ,3,20
285,Николай,ДИМИТРОВ,4,18
327,Борислав,БОЖИЛОВ,5,16
878,Ален,МИРЧЕВ,6,15
76,Мартин,ХРИСТЕВ,7,14
328,Николай,ТАКУЧЕВ,8,13
301,Николай,СИМЕОНОВ,9,12
611,Емил,Балин,10,11
170,Стефан,МОЧЕВ,11,10
109,Мартин,ЛЮБЕНОВ,12,9
403,Александър,ГЕНЧЕВ,13,8
374,Станислав,МИКОВ,14,7
950,Георги,ГОДОВ,15,6
357,Адриан,ЙОРДАНОВ,16,5
37,Мартин,БЪЧВАРОВ,17,4
215,Валентин,ВЛАДИМИРОВ,18,3
152,Кристиян,МАНДЕВСКИ,19,2
402,Константин,ГЕНЧЕВ,20,1
42,Илиян,ИЛИЕВ,21,0
238,Пламен,КОВАЧЕВ,22,0
182,Александър,ДИМИТРОВ,23,0
777,Антон,АНТОНОВ,24,0
221,Тодор,БРАЦИКЛИЕВ,25,0
401,Денис,ЙОРДАНОВ,26,0
390,Христо,ПАВЛОВ,27,0
550,Виктор,РАНОВ,28,0
91,Боян,МЛАДЕНОВ,29,0
371,Цветолюб,ЦАНОВ,30,0
444,Атанас,ТАТАРОВ,31,0
237,Пепи,ГАВРИЛОВ,32,0
394,Венцислав,БОРИСЛАВОВ,33,0
380,Сали,ЖИВКОВ,34,0
778,Юджел,ДУРАН,35,0
140,Дамян,ГЕОРГИЕВ,36,0
49,Борислав,ЦАЧЕВ,37,0
909,Мартин,ГИНОВ,38,0
110,Кристиян,БОНЕВ,39,0
705,Кристиан,БЕЛЧЕВ,40,0
365,Тодор,АНГЕЛОВ,41,0
733,Илиян,СЛАВОВ,42,0
333,Мирослав,ФИЛИПОВ,43,0
861,Александър,ПЕТКОВ,44,0
963,Михаил,ТОДОРОВ,45,0
62,Стефан,СТЕФАНОВ,46,0
184,Денис,АСЕНОВ,47,0
693,Стойчо,БОЙКОВ,48,0
46,Мирослав,КОСТАДИНОВ,49,0
269,Константин,КОСТОВ,50,0
513,Генади,АСЕНОВ,51,0
21,Стоян,СТОЯНОВ,52,0
993,Борислав,НИКОЛОВ,53,0
524,Веселин,СТОЙЧЕВ,54,0
216,Цветомир,ЦВЕТКОВ,55,0
888,Георги,АНГЕЛОВ,56,0
88,Владислав,АНГЕЛОВ,57,0
882,Мустафа,ЕМИН,58,0
531,Пламен,ТЕНЕВ,59,0
404,Марин,БИЛБИЛЕВ,60,0
975,Виктор,АНДОНОВ,61,0
101,Яна,КИРОВА,62,0
557,Николай,ДЖОГОЛАНОВ,63,0
86,Свилен,ГОСПОДИНОВ,64,0
206,Пламен,КАЛИНОВ,65,0
413,Светлозар,ВАСИЛЕВ,66,0
