RaceNumber,FirstName,LastName,Position,Points
307,Милен,ДИМИТРОВ,1,25
171,Георги,ПЕТРОВ,2,22
294,Александър,Кабакчиев,3,20
347,Димитър,ИЛИЕВ,4,18
117,Димитър,ХРИСТОВ,5,16
772,Валентин,РОГЛЕВ,6,15
274,Иван,ЧУКУРОВ,7,14
9,Константин,ИВАНОВ,8,13
107,Калоян,ТОДОРОВ,9,12
327,Борислав,БОЖИЛОВ,10,11
57,Петър,ПЕТРОВ,11,10
14,Георги,ПЕТКОВ,12,9
804,Александър,КРЪШНЯК,13,8
100,Теодор,КРЪСТЕВ,14,7
567,Георги,ВЕСКОВ,15,6
84,Мартин,ИВАНОВ,16,5
862,Иво,ГЕОРГИЕВ,17,4
26,Георги,ТОПАЛОВ,18,3
18,Павел,Цацов,19,2
918,Ивайло,СИВИНОВ,20,1
27,Методи,ТРЕНЧЕВ,21,0
660,Валентин,АРАБОВ,22,0
