RaceNumber,FirstName,LastName,Position,Points
281,Захари,ШЕНТОВ,1,25
170,Стефан,МОЧЕВ,2,22
328,Николай,ТАКУЧЕВ,3,20
66,Иван,КЕРАНДЖИЕВ,4,18
908,Здравко,ГИНОВ,5,16
76,Мартин,ХРИСТЕВ,6,15
16,Нейтън,ДИМИТРОВ,7,14
285,Николай,ДИМИТРОВ,8,13
91,Боян,МЛАДЕНОВ,9,12
403,Александър,ГЕНЧЕВ,10,11
109,Мартин,ЛЮБЕНОВ,11,10
611,Емил,Балин,12,9
444,Атанас,ТАТАРОВ,13,8
182,Александър,ДИМИТРОВ,14,7
968,Ивайло,МИНОВ,15,6
152,Кристиян,МАНДЕВСКИ,16,5
42,Илиян,ИЛИЕВ,17,4
909,Мартин,ГИНОВ,18,3
215,Валентин,ВЛАДИМИРОВ,19,2
402,Константин,ГЕНЧЕВ,20,1
394,Венцислав,БОРИСЛАВОВ,21,0
401,Денис,ЙОРДАНОВ,22,0
333,Мирослав,ФИЛИПОВ,23,0
237,Пепи,ГАВРИЛОВ,24,0
380,Сали,ЖИВКОВ,25,0
497,Кристиан,ЧАВДАРОВ,26,0
110,Кристиян,БОНЕВ,27,0
794,Йордан,КАРАКОЛЕВ,28,0
882,Мустафа,ЕМИН,29,0
629,Пламен,ПОПОВ,30,0
888,Георги,АНГЕЛОВ,31,0
88,Владислав,АНГЕЛОВ,32,0
24,Теована,СТАНЧЕВА,33,0
524,Веселин,СТОЙЧЕВ,34,0
101,Яна,КИРОВА,35,0
