RaceNumber,FirstName,LastName,Position,Points
255,Димитър,ТИНЧЕВ,1,25
34,Георги,ГЕОРГИЕВ,2,22
347,Димитър,ИЛИЕВ,3,20
307,Милен,ДИМИТРОВ,4,18
107,Калоян,ТОДОРОВ,5,16
400,Иван,ГЕНЧЕВ,6,15
9,Константин,ИВАНОВ,7,14
274,Иван,ЧУКУРОВ,8,13
118,Петър,БЕНЧЕВ,9,12
294,Александър,Кабакчиев,10,11
14,Георги,ПЕТКОВ,11,10
111,Синан,СЕИДОВ,12,9
183,Иван,ТОДОРОВ,13,8
862,Иво,ГЕОРГИЕВ,14,7
567,Георги,ВЕСКОВ,15,6
11,Светлин,ИВАНОВ,16,5
2,Калоян,ЯНКОВ,17,4
226,Иван,ИВАНОВ,18,3
57,Петър,ПЕТРОВ,19,2
737,Ивайло,СЛАВОВ,20,1
570,Гечо,ГЕЧОВ,21,0
222,Борислав,ВЕЛИКОВ,22,0
84,Мартин,ИВАНОВ,23,0
828,Alexander,Stracke,24,0
829,Stefan,Groos,25,0
826,Matthias,Berger,26,0
327,Борислав,БОЖИЛОВ,9,20
