RaceNumber,FirstName,LastName,Position,Points
170,Стефан,МОЧЕВ,1,25
281,Захари,ШЕНТОВ,2,22
66,Иван,КЕРАНДЖИЕВ,3,20
285,Николай,ДИМИТРОВ,4,18
76,Мартин,ХРИСТЕВ,5,16
906,Виктор,ПЕТРОВ,6,15
184,Денис,АСЕНОВ,7,14
109,Мартин,ЛЮБЕНОВ,8,13
152,Кристиян,МАНДЕВСКИ,9,12
91,Боян,МЛАДЕНОВ,10,11
16,Нейтън,ДИМИТРОВ,11,10
90,Радослав,ДЖАДЖАРОВ,12,9
373,Йордан,ЙОРДАНОВ,13,8
909,Мартин,ГИНОВ,14,7
777,Антон,АНТОНОВ,15,6
42,Илиян,ИЛИЕВ,16,5
182,Александър,ДИМИТРОВ,17,4
402,Константин,ГЕНЧЕВ,18,3
968,Ивайло,МИНОВ,19,2
371,Цветолюб,ЦАНОВ,20,1
62,Стефан,СТЕФАНОВ,21,0
705,Кристиан,БЕЛЧЕВ,22,0
162,Калоян,ДИМОВ,23,0
207,Момчил,ТОДОРОВ,24,0
312,Добромир,СТОЯНОВ,25,0
21,Стоян,СТОЯНОВ,26,0
101,Яна,КИРОВА,66,34
253,Виктор,Христов,115,124
403,Александър,ГЕНЧЕВ,7,94
717,Иво,ГЕОРГИЕВ,80,55
920,Anders,Wretblad,0,95
