RaceNumber,FirstName,LastName,Position,Points
125,Десислав,ЦЕКОВ,1,25
30,Илиян,КУЗМАНОВ,2,22
666,Цветан,ДЕНЕВ,3,20
411,Калоян,ТОТЕВ,4,18
79,Павел,ИВАНОВ,5,16
69,Михаил,МИТОВ,6,15
74,Асан,ИМАМОВ,7,14
64,Радослав,ТРАЯНОВ,8,13
176,Пламен,ЯНКОВ,9,12
83,Лъчезар,ВУНЧЕВ,10,11
190,Кирил,НАЧЕВ,11,10
78,Мирослав,ДИМИТРОВ,12,9
305,Данаил,КОСТАДИНОВ,13,8
916,Росен,ЖЕЛЯЗКОВ,14,7
188,Ивелин,ИВАНОВ,15,6
777,Антон,АНТОНОВ,16,5
81,Милко,МИЛЕВ,17,4
727,Ивайло,ПЕТРОВ,18,3
905,Цветелин,КОСТАДИНОВ,19,2
115,Ивайло,ЙОРДАНОВ,20,1
911,Тодор,КОЧЕШЕВ,21,0
67,Александър,ВЕСКОВ,22,0
33,Георги,СИНЕВ,23,0
