RaceNumber,FirstName,LastName,Position,Points
281,Захари,ШЕНТОВ,1,25
170,Стефан,МОЧЕВ,2,22
236,Любомир,ИВАНОВ,3,20
980,Славчо,ШОПОВ,4,18
878,Ален,МИРЧЕВ,5,16
238,Пламен,КОВАЧЕВ,6,15
328,Николай,ТАКУЧЕВ,7,14
908,Здравко,ГИНОВ,8,13
124,Илиян,ЖИВКОВ,9,12
359,Християн,ПЕЙЧЕВ,10,11
403,Александър,ГЕНЧЕВ,11,10
184,Денис,АСЕНОВ,12,9
16,Нейтън,ДИМИТРОВ,13,8
42,Илиян,ИЛИЕВ,14,7
966,Марио,МИЛЕНКОВ,15,6
535,Иван,СЕЙМЕНОВ,16,5
290,Иван,МАРИНОВ,17,4
550,Виктор,РАНОВ,18,3
90,Радослав,ДЖАДЖАРОВ,19,2
182,Александър,ДИМИТРОВ,20,1
259,Томислав,ХАЛВАДЖИЕВ,21,0
109,Мартин,ЛЮБЕНОВ,22,0
374,Станислав,МИКОВ,23,0
66,Иван,КЕРАНДЖИЕВ,24,0
91,Боян,МЛАДЕНОВ,25,0
502,Николай,ИВАНОВ,26,0
357,Адриан,ЙОРДАНОВ,27,0
705,Кристиан,БЕЛЧЕВ,28,0
909,Мартин,ГИНОВ,29,0
365,Тодор,АНГЕЛОВ,30,0
394,Венцислав,БОРИСЛАВОВ,31,
221,Тодор,БРАЦИКЛИЕВ,32,0
389,Костадин,ХРИСТОВ,33,0
402,Константин,ГЕНЧЕВ,34,0
243,Стефан,ДИМОВ,35,0
312,Добромир,СТОЯНОВ,36,0
490,Николай,ДИМОВ,37,0
98,Светлин,КАЦАРСКИ,38,0
37,Мартин,БЪЧВАРОВ,39,0
445,Ангел,НАЧЕВ,40,0
401,Денис,ЙОРДАНОВ,41,0
778,Юджел,ДУРАН,42,0
24,Теована,СТАНЧЕВА,43,0
733,Илиян,СЛАВОВ,44,0
794,Йордан,КАРАКОЛЕВ,45,0
205,Красимир,ИВАНОВ,46,0
882,Мустафа,ЕМИН,47,0
488,Николай,КРЪСТЕВ,48,0
654,Мирослав,СТАНЕВ,49,0
861,Александър,ПЕТКОВ,50,0
21,Стоян,СТОЯНОВ,51,0
993,Борислав,НИКОЛОВ,52,0
285,Николай,ДИМИТРОВ,53,0
906,Виктор,ПЕТРОВ,54,0
963,Михаил,ТОДОРОВ,55,0
206,Пламен,КАЛИНОВ,56,0
726,Александър,ТОТЕВ,57,0
162,Калоян,ДИМОВ,58,0
101,Яна,КИРОВА,59,0
404,Марин,БИЛБИЛЕВ,60,0
86,Свилен,ГОСПОДИНОВ,61,0
392,Емил,ДЖЕРМАНОВ,62,0
524,Веселин,СТОЙЧЕВ,63,0
